NAME,INTERNET,ACCESS_NETWORK_STATE,WRITE_EXTERNAL_STORAGE,READ_PHONE_STATE,VIBRATE,ACCESS_COARSE_LOCATION,WAKE_LOCK,ACCESS_FINE_LOCATION,RECEIVE_BOOT_COMPLETED,ACCESS_WIFI_STATE,READ_CONTACTS,WRITE_SETTINGS,GET_ACCOUNTS,CAMERA,CALL_PHONE,WRITE_CONTACTS,GET_TASKS,RECORD_AUDIO,READ_HISTORY_BOOKMARKS,WRITE_HISTORY_BOOKMARKS
+HOME-Launcher_v3.4.03pakage.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0
1_000_000-Wallpapers-HD_v2.0pakage.apk,1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10_000+-Sms-Collection_v7.5.1.0pakage.apk,1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000+-SMS-Messages-Collection_v1.8pakage.apk,1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000+-Wallpapers_v1.1pakage.apk,1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10000-Bimari-Ke-Upay_v1.0pakage.apk,1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1001-secreat-talks_v1.0pakage.apk,1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150-Bangladeshi-Newspapers_v1.2pakage.apk,1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
1500+-Hindi-Recipes_v2.6pakage.apk,1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
15000-knowledge_v1.0pakage.apk,1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
