NAME,INTERNET,READ_PHONE_STATE,ACCESS_NETWORK_STATE,WRITE_EXTERNAL_STORAGE,READ_SMS,ACCESS_WIFI_STATE,RECEIVE_BOOT_COMPLETED,WRITE_SMS,SEND_SMS,RECEIVE_SMS,VIBRATE,ACCESS_COARSE_LOCATION,READ_CONTACTS,CALL_PHONE,ACCESS_FINE_LOCATION,WAKE_LOCK,WRITE_CONTACTS,CHANGE_WIFI_STATE,WRITE_APN_SETTINGS,RESTART_PACKAGES
00d430877eed07d10c1e730926dcca9f82f282af.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
08061663E638B5AC1D780CAACBE9FAD8_1074178_370436__GlamorousSmoke.apk,1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0A2C68C40453625EB2676023B97894E621C4AF23.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
0a3ec1fd0256736aeff449a2c9b7b656a6862eaf.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
0e8236ddb163e7f3816cfef38b92c6e064887b3f.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
0ef158c897f91a58aa2a13d25cd3019bc19b9954.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
100+-Photo-Backgrounds-Free_v1.0.1pakage.apk,1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1300-Maths-Formulas_v1.6pakage.apk,1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14EE027B4DF5C4031F6B78B3BAA5602AAEB34E5F.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
153c94a6d464497b07f1ea3511b87206a3621efd.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
15db22fd7d961f4d4bd96052024d353b3ff4bd135835d2644d94d74c925af3c4.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
1CBB0919441AE19B3B9FCCD6D31E737036F74F90.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
1F68ADDF38F63FE821B237BC7BAABB3D_IBanking_Chase.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0
1mg-Save-on-MedicineLabTests_v8.2.1pakage.apk,1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0
20EAA48D86129FEBDFEE80B0CCCD484FE589A2BF.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
21501127972BFBD1C4A89EC39E0AA084.apk,1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1
232e08bda4856b56e06a45ac5c27350fb30ddf5c.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
23988ABAD7C7B2ECDDA23AE7194B7A0D.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
265D37013E1EA39B868515CCE157DFEB.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2C77AAB581983C33EEFA65D867F03E54D3105611.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
2D66D7942148DE2D9F08EAB403921C89.apk,1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
2GIS-directory--navigator_v4.1.6.1647pakage.apk,1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0
3841ABCEF2B1B37AA7E2D47C535CA80E.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
