Name,BFM,BFB,Decision_Module,Actual_Class
00d430877eed07d10c1e730926dcca9f82f282af.apk,Malware,Malware,Malware,Malware
08061663E638B5AC1D780CAACBE9FAD8_1074178_370436__GlamorousSmoke.apk,Malware,Malware,Malware,Malware
0A2C68C40453625EB2676023B97894E621C4AF23.apk,Malware,Malware,Malware,Malware
0a3ec1fd0256736aeff449a2c9b7b656a6862eaf.apk,Malware,Malware,Malware,Malware
0e8236ddb163e7f3816cfef38b92c6e064887b3f.apk,Malware,Malware,Malware,Malware
0ef158c897f91a58aa2a13d25cd3019bc19b9954.apk,Malware,Malware,Malware,Malware
100+-Photo-Backgrounds-Free_v1.0.1pakage.apk,Malware,Benign,Unclassified,Benign
1300-Maths-Formulas_v1.6pakage.apk,Malware,Benign,Unclassified,Benign
14EE027B4DF5C4031F6B78B3BAA5602AAEB34E5F.apk,Malware,Malware,Malware,Malware
153c94a6d464497b07f1ea3511b87206a3621efd.apk,Malware,Malware,Malware,Malware
15db22fd7d961f4d4bd96052024d353b3ff4bd135835d2644d94d74c925af3c4.apk,Benign,Malware,Unclassified,Malware
1CBB0919441AE19B3B9FCCD6D31E737036F74F90.apk,Malware,Malware,Malware,Malware
1F68ADDF38F63FE821B237BC7BAABB3D_IBanking_Chase.apk,Benign,Malware,Unclassified,Malware
1mg-Save-on-MedicineLabTests_v8.2.1pakage.apk,Benign,Malware,Unclassified,Benign
20EAA48D86129FEBDFEE80B0CCCD484FE589A2BF.apk,Malware,Malware,Malware,Malware
21501127972BFBD1C4A89EC39E0AA084.apk,Malware,Malware,Malware,Malware
232e08bda4856b56e06a45ac5c27350fb30ddf5c.apk,Malware,Malware,Malware,Malware
23988ABAD7C7B2ECDDA23AE7194B7A0D.apk,Malware,Malware,Malware,Malware
265D37013E1EA39B868515CCE157DFEB.apk,Malware,Malware,Malware,Malware
2C77AAB581983C33EEFA65D867F03E54D3105611.apk,Malware,Malware,Malware,Malware
2D66D7942148DE2D9F08EAB403921C89.apk,Malware,Malware,Malware,Malware
2GIS-directory--navigator_v4.1.6.1647pakage.apk,Benign,Malware,Unclassified,Benign
3841ABCEF2B1B37AA7E2D47C535CA80E.apk,Malware,Malware,Malware,Malware
3D-Launcher-for-Galaxy-J7_v2.0pakage.apk,Malware,Benign,Unclassified,Benign
4-Share-Apps---File-Transfer_v1.3.3.6pakage.apk,Benign,Benign,Benign,Benign
4A300481411AB1992467959491DF412C.apk,Benign,Malware,Unclassified,Malware
4a56c7abdc455c82e95753bdb1934285.apk,Benign,Malware,Unclassified,Malware
4d3a1a769255402be23ae5e6b3445d79b7b4b702.apk,Malware,Malware,Malware,Malware
4e80480daf4ab573121d839c2c74cc845945be38.apk,Malware,Malware,Malware,Malware
4G_-3G_-WiFi-Speed-Test_v1.3pakage.apk,Benign,Benign,Benign,Benign
4G-LTE-Network-Switcher_v1.4pakage.apk,Malware,Benign,Unclassified,Benign
500_2000-new-release-notes_v1.0pakage.apk,Benign,Benign,Benign,Benign
514152082315816E91049B3DA6F95EA376555445.apk,Malware,Malware,Malware,Malware
5359D2F33FB072609D589B054FBE9BF0BA14FBFD.apk,Malware,Malware,Malware,Malware
5A1FD697C3ECD3D050B3D88D8A8649A1.apk,Benign,Malware,Unclassified,Malware
5c325c70250cbd294fae4cb321b3d8d39f1c1cd3.apk,Malware,Malware,Malware,Malware
5DD722C5FCE53C8C26ADF522641E5FACFE976BC7.apk,Malware,Malware,Malware,Malware
5f0ba094e83ee321b331a3acd7252ae92b4d5734.apk,Malware,Malware,Malware,Malware
5fdcb3d86a949d73ddbf721640733917dc300d41.apk,Malware,Malware,Malware,Malware
62f6d3b57f0bcea6b9edebff7d67b4a1fb7ece7d.apk,Malware,Malware,Malware,Malware
65f66e7b862db8c23074da1c2fe697d594ca1cdc.apk,Malware,Malware,Malware,Malware
6a6176fc043b821b1ceb48425f2bce9c1f3a6cb8.apk,Malware,Malware,Malware,Malware
6c0b900a17faf11d9efc68951b2d04fdb180bfe8.apk,Malware,Malware,Malware,Malware
6c13a359586f9cab20f2bc9b4fd8294e61e6e852.apk,Malware,Malware,Malware,Malware
6d6b779ea0b3d31c9453db8268b1e85463fe4725.apk,Malware,Malware,Malware,Malware
6EB92667EBBBCB2C7DDF6230462222FD.apk,Malware,Malware,Malware,Malware
735B4E78B334F6B9EB19E700A4C30966.apk,Benign,Benign,Benign,Malware
7c50a08472732593558ee18fc48693052b205e45428d0163df7f5346dd4e8bf5.apk,Malware,Malware,Malware,Malware
8.1-Metro-Lock-Launcher_v1.8.9pakage.apk,Malware,Malware,Malware,Benign
835576FB19E60F6186F86706CF03AC45.apk,Malware,Malware,Malware,Malware
8b4b2d8e1f051b3789c3d8f320136f9ebe75ef5f73c0f524e9875601a4ba5a68.apk,Malware,Malware,Malware,Malware
8F7A41A921FC15F4FD47A33E476D7B3B_1074179_370437__SkullLighter.apk,Malware,Malware,Malware,Malware
93922EE5FBD149F31B0161DECA76DF77.apk,Malware,Malware,Malware,Malware
97C2D04AA0F3C3B446FC228C1DBC4837.apk,Malware,Malware,Malware,Malware
AajTak_v1.28pakage.apk,Benign,Malware,Unclassified,Benign
About-India_v5.26pakage.apk,Benign,Benign,Benign,Benign
Ace-Cleaner-(Boost--Optimize)_v1.1.8pakage.apk,Benign,Benign,Benign,Benign
Air-India_v2.0.16pakage.apk,Benign,Malware,Unclassified,Benign
All-Government-Job_v3.3pakage.apk,Benign,Malware,Unclassified,Benign
Amazing-Photo-Editor_v2.5pakage.apk,Benign,Malware,Unclassified,Benign
Anatomy-Learning---3D-Atlas_v1.0pakage.apk,Benign,Benign,Benign,Benign
